clip_a,clip_b,expected
dataset/clips/video_1.mp4,dataset/clips/video_1_lowres.mp4,1
dataset/clips/video_2.mp4,dataset/clips/video_2_crop.mp4,1
dataset/clips/video_3.mp4,dataset/clips/video_3_crop.mp4,1
dataset/clips/video_4.mp4,dataset/clips/video_4_lowres.mp4,1
dataset/clips/video_5.mp4,dataset/clips/video_5_lowres.mp4,1

dataset/clips/video_5.mp4,dataset/clips/video_1.mp4,0
dataset/clips/video_2.mp4,dataset/clips/video_4_lowres.mp4,0
dataset/clips/video_3.mp4,dataset/clips/video_1_crop.mp4,0
dataset/clips/video_4_lowres.mp4,dataset/clips/video_1.mp4,0
dataset/clips/video_1.mp4,dataset/clips/video_2_lowres.mp4,0
